game_number	player_bankrupt	turn
1	Hero	23
1	Bob	41
1	Alice	49
3	Alice	14
3	Charly	44
3	Hero	51
5	Alice	36
5	Bob	55
5	Charly	59
8	Hero	48
8	Charly	54
8	Alice	63
10	Bob	62
10	Hero	63
10	Charly	67
11	Alice	30
11	Hero	47
11	Charly	56
12	Alice	35
12	Charly	64
12	Hero	76
15	Bob	50
15	Alice	84
15	Charly	98
16	Charly	59
16	Bob	67
16	Alice	171
17	Bob	46
17	Charly	47
17	Hero	62
18	Bob	26
18	Hero	31
18	Alice	36
19	Bob	37
19	Hero	42
19	Charly	49
20	Hero	23
20	Alice	24
20	Bob	42
21	Bob	46
21	Hero	47
21	Charly	51
22	Charly	41
22	Hero	49
22	Alice	62
23	Hero	27
23	Alice	35
23	Charly	75
24	Hero	50
24	Charly	55
24	Bob	56
25	Alice	48
25	Hero	61
25	Charly	74
27	Alice	69
27	Hero	77
27	Charly	105
28	Alice	36
28	Hero	55
28	Charly	61
30	Charly	53
30	Bob	55
30	Hero	74
31	Bob	55
31	Alice	79
31	Hero	121
32	Alice	46
32	Bob	59
32	Charly	86
34	Alice	61
34	Charly	64
34	Hero	67
35	Alice	52
35	Hero	68
35	Bob	70
36	Alice	50
36	Charly	52
36	Hero	93
37	Alice	48
37	Hero	53
37	Bob	70
38	Alice	36
38	Hero	40
38	Bob	57
39	Alice	58
39	Hero	59
39	Charly	61
40	Charly	179
41	Charly	73
41	Bob	87
41	Alice	95
42	Bob	36
42	Hero	40
42	Charly	44
45	Bob	22
45	Alice	25
45	Hero	27
46	Alice	28
46	Charly	64
46	Bob	75
47	Hero	21
47	Bob	22
47	Alice	30
49	Charly	27
49	Bob	38
49	Alice	51
50	Bob	54
50	Charly	64
50	Hero	94
51	Hero	34
51	Charly	41
51	Alice	44
55	Hero	86
55	Bob	86
55	Charly	101
56	Charly	37
56	Bob	43
56	Hero	50
58	Bob	29
58	Alice	46
58	Hero	57
59	Hero	66
59	Bob	81
59	Charly	89
60	Alice	36
60	Bob	38
60	Hero	54
61	Alice	24
61	Hero	26
61	Charly	26
62	Charly	29
62	Bob	32
62	Hero	36
64	Hero	26
64	Alice	47
64	Charly	51
65	Alice	45
65	Bob	53
65	Charly	65
66	Hero	48
66	Bob	51
66	Charly	70
67	Charly	45
67	Bob	46
67	Hero	66
68	Hero	88
68	Bob	115
68	Alice	136
69	Hero	170
69	Alice	197
69	Charly	202
70	Charly	45
70	Hero	46
70	Alice	53
72	Bob	60
72	Alice	60
72	Charly	71
73	Charly	44
73	Alice	45
73	Hero	49
74	Charly	32
74	Bob	38
74	Hero	41
75	Hero	46
75	Charly	59
75	Alice	66
76	Bob	73
76	Alice	74
76	Hero	92
77	Bob	32
77	Hero	38
77	Charly	50
80	Hero	36
80	Alice	38
80	Bob	38
81	Alice	32
81	Charly	35
81	Bob	37
82	Bob	37
82	Charly	38
82	Alice	48
83	Charly	35
83	Bob	48
83	Hero	62
85	Alice	65
85	Hero	69
85	Charly	75
86	Alice	26
86	Hero	28
86	Charly	54
87	Charly	67
87	Alice	75
87	Bob	85
88	Bob	54
88	Charly	77
88	Alice	89
89	Bob	44
89	Alice	111
89	Hero	208
90	Bob	78
90	Charly	79
91	Hero	60
91	Alice	61
91	Bob	75
92	Alice	28
92	Hero	29
92	Charly	35
94	Charly	25
94	Hero	28
94	Bob	30
96	Alice	45
96	Charly	55
96	Hero	80
98	Bob	43
98	Hero	53
98	Alice	66
99	Alice	54
99	Charly	57
99	Hero	63
100	Hero	46
100	Alice	47
100	Bob	152
101	Hero	34
101	Alice	46
101	Bob	53
102	Alice	42
102	Hero	46
102	Charly	91
103	Charly	63
103	Alice	82
104	Hero	28
104	Bob	54
104	Charly	60
105	Charly	48
105	Alice	55
105	Hero	74
106	Alice	32
106	Hero	43
106	Bob	51
108	Hero	69
108	Alice	82
108	Charly	86
110	Hero	84
110	Charly	92
110	Bob	110
111	Hero	21
111	Bob	28
111	Alice	37
112	Alice	60
112	Bob	150
112	Hero	171
114	Charly	36
114	Hero	37
114	Bob	49
115	Alice	59
115	Hero	64
115	Charly	79
116	Bob	35
116	Alice	35
116	Hero	47
118	Bob	64
118	Alice	66
118	Charly	80
119	Alice	33
119	Bob	50
119	Charly	53
121	Charly	60
121	Hero	67
121	Bob	67
122	Bob	41
122	Hero	58
122	Charly	61
123	Hero	31
123	Bob	32
123	Charly	49
124	Charly	25
124	Bob	32
124	Hero	34
125	Hero	42
125	Alice	44
125	Bob	47
126	Bob	46
126	Hero	54
126	Alice	58
130	Alice	28
130	Bob	43
130	Charly	44
132	Charly	35
132	Bob	40
132	Hero	42
133	Hero	40
133	Alice	55
133	Bob	65
137	Alice	59
137	Hero	99
137	Charly	113
138	Charly	30
138	Hero	31
138	Bob	43
139	Bob	51
139	Hero	74
139	Alice	83
140	Hero	37
140	Bob	42
140	Charly	44
141	Alice	52
141	Bob	77
141	Hero	127
142	Hero	41
142	Charly	42
142	Bob	57
144	Charly	34
144	Alice	36
144	Hero	45
145	Hero	25
145	Alice	27
145	Bob	39
146	Alice	36
146	Hero	61
146	Charly	61
147	Alice	38
147	Charly	44
147	Bob	82
148	Bob	24
148	Charly	27
148	Alice	73
151	Alice	25
151	Bob	51
151	Charly	97
152	Alice	17
152	Bob	25
152	Hero	42
154	Bob	44
154	Hero	46
154	Alice	49
155	Charly	28
155	Bob	30
155	Hero	33
156	Bob	65
156	Alice	100
156	Charly	206
157	Bob	45
157	Alice	111
157	Charly	251
158	Charly	47
158	Hero	66
158	Alice	133
159	Alice	22
159	Charly	36
159	Hero	40
161	Bob	59
161	Hero	66
161	Alice	88
162	Hero	42
162	Alice	72
162	Bob	84
163	Bob	23
163	Charly	38
163	Alice	38
164	Hero	61
164	Charly	66
164	Alice	72
165	Charly	46
165	Alice	50
165	Bob	55
166	Charly	33
166	Bob	35
166	Alice	92
168	Hero	46
168	Alice	59
168	Bob	65
170	Bob	44
170	Hero	57
170	Charly	62
171	Hero	70
171	Alice	90
171	Bob	105
174	Hero	50
174	Bob	53
174	Alice	56
176	Bob	75
176	Alice	76
176	Hero	98
177	Alice	39
177	Bob	52
177	Charly	70
180	Alice	34
180	Hero	47
180	Bob	47
181	Hero	18
181	Alice	24
181	Bob	35
182	Hero	28
182	Bob	36
182	Alice	37
183	Hero	23
183	Charly	42
183	Bob	48
184	Bob	44
184	Alice	59
184	Charly	71
186	Hero	54
186	Alice	57
186	Bob	64
187	Bob	69
187	Hero	84
187	Charly	85
188	Alice	36
188	Charly	37
188	Hero	81
189	Hero	35
189	Bob	40
189	Charly	40
191	Alice	71
191	Charly	97
191	Hero	102
192	Hero	22
192	Alice	35
192	Bob	39
193	Alice	44
193	Bob	46
193	Hero	62
194	Charly	46
194	Hero	87
196	Hero	19
196	Alice	35
196	Bob	43
197	Hero	39
197	Bob	49
197	Alice	49
198	Hero	24
198	Alice	32
198	Charly	55
203	Charly	37
203	Hero	40
203	Alice	53
205	Bob	31
205	Charly	68
205	Hero	82
209	Hero	25
209	Alice	29
209	Bob	50
210	Charly	46
210	Alice	52
210	Bob	252
211	Alice	72
211	Bob	83
211	Charly	103
212	Charly	28
212	Bob	55
212	Hero	59
213	Alice	21
213	Charly	43
213	Bob	106
214	Charly	47
214	Alice	52
214	Bob	60
215	Alice	25
215	Charly	41
215	Bob	67
216	Alice	63
216	Charly	66
216	Hero	69
218	Bob	40
218	Alice	45
218	Charly	77
219	Bob	55
219	Hero	59
219	Charly	60
224	Charly	44
224	Bob	67
224	Hero	72
225	Bob	37
225	Charly	38
225	Alice	43
228	Bob	46
228	Hero	47
228	Alice	53
229	Charly	28
229	Hero	30
229	Bob	35
230	Bob	45
230	Hero	46
230	Charly	46
231	Charly	75
231	Alice	84
231	Hero	95
233	Bob	25
233	Charly	43
233	Alice	52
235	Hero	47
235	Alice	70
235	Charly	77
236	Charly	59
236	Alice	59
236	Hero	61
237	Bob	50
237	Charly	58
237	Hero	64
240	Alice	51
240	Charly	52
240	Hero	62
242	Charly	64
242	Alice	93
242	Hero	97
243	Charly	38
243	Bob	39
243	Hero	40
244	Charly	22
244	Hero	26
244	Bob	36
245	Bob	42
245	Hero	46
245	Charly	104
246	Charly	62
246	Alice	69
246	Hero	74
248	Hero	81
248	Bob	88
248	Charly	103
249	Charly	28
249	Alice	43
249	Bob	129
251	Hero	39
251	Alice	44
251	Bob	67
252	Hero	42
252	Charly	50
252	Alice	53
253	Hero	53
253	Bob	55
253	Alice	65
254	Alice	26
254	Hero	36
254	Charly	41
255	Bob	19
255	Charly	25
255	Hero	48
256	Alice	32
256	Bob	46
256	Hero	51
257	Bob	25
257	Charly	28
257	Hero	33
260	Charly	42
260	Bob	45
260	Hero	52
261	Alice	55
261	Hero	57
261	Bob	73
262	Charly	39
262	Bob	44
262	Hero	45
263	Alice	43
263	Bob	64
263	Charly	73
264	Alice	44
264	Bob	49
264	Hero	56
265	Charly	75
265	Hero	78
265	Bob	78
266	Alice	30
266	Charly	37
266	Hero	47
267	Bob	48
267	Charly	49
267	Hero	78
269	Charly	76
269	Bob	78
269	Hero	82
270	Bob	153
270	Hero	165
270	Charly	201
271	Bob	47
271	Hero	55
271	Alice	59
272	Bob	77
272	Alice	84
272	Charly	93
275	Hero	35
275	Charly	43
275	Bob	130
276	Charly	39
276	Alice	47
276	Hero	77
277	Charly	31
277	Hero	79
277	Bob	107
278	Charly	35
278	Bob	45
278	Alice	56
280	Charly	44
280	Alice	53
280	Hero	63
281	Bob	34
281	Hero	41
281	Alice	74
283	Alice	87
283	Charly	87
283	Hero	103
284	Bob	32
284	Alice	51
284	Hero	63
285	Alice	28
285	Bob	36
285	Hero	47
286	Alice	35
286	Bob	36
286	Hero	53
287	Bob	45
287	Alice	51
287	Hero	65
288	Alice	75
288	Charly	82
288	Hero	82
289	Charly	35
289	Hero	43
289	Bob	46
290	Charly	18
290	Bob	28
290	Alice	37
292	Hero	31
292	Bob	41
292	Charly	64
293	Charly	48
293	Alice	52
293	Hero	55
294	Alice	75
294	Charly	119
294	Bob	260
295	Alice	45
295	Hero	47
295	Bob	53
298	Charly	21
298	Alice	37
298	Hero	42
299	Bob	42
299	Alice	53
299	Hero	55
300	Charly	34
300	Hero	43
300	Bob	48
302	Hero	48
302	Charly	52
302	Alice	59
303	Hero	24
303	Charly	36
303	Bob	47
304	Hero	32
304	Charly	39
304	Alice	46
305	Alice	69
305	Bob	72
305	Hero	107
306	Hero	28
306	Charly	39
306	Bob	74
308	Hero	38
308	Bob	42
308	Alice	42
309	Hero	32
309	Charly	35
309	Alice	56
310	Hero	36
310	Charly	45
310	Alice	46
311	Hero	28
311	Alice	37
311	Charly	41
312	Charly	695
315	Hero	25
315	Charly	36
315	Bob	50
316	Bob	77
316	Alice	81
316	Hero	117
317	Bob	27
317	Hero	33
317	Charly	37
318	Charly	647
318	Alice	718
319	Alice	28
319	Charly	37
319	Hero	37
320	Hero	25
320	Alice	33
320	Charly	72
321	Charly	52
321	Alice	77
321	Bob	91
322	Charly	22
322	Bob	38
322	Hero	91
324	Bob	51
324	Hero	57
324	Alice	74
325	Charly	44
325	Alice	50
325	Bob	84
326	Hero	42
326	Charly	65
326	Alice	84
327	Alice	33
327	Charly	48
327	Bob	51
330	Bob	53
330	Hero	79
330	Charly	79
331	Hero	43
331	Bob	52
331	Alice	55
332	Alice	47
332	Charly	57
332	Hero	82
333	Alice	35
333	Charly	41
333	Hero	52
334	Alice	48
334	Bob	48
334	Hero	55
336	Bob	61
336	Charly	68
336	Hero	78
337	Hero	64
337	Bob	69
337	Alice	71
338	Bob	70
338	Alice	73
338	Charly	90
339	Charly	31
339	Bob	37
339	Alice	44
340	Charly	26
340	Hero	37
340	Bob	53
341	Bob	53
341	Hero	56
341	Alice	89
342	Hero	44
342	Charly	49
342	Bob	54
343	Alice	99
343	Charly	106
343	Hero	116
344	Bob	32
344	Charly	34
344	Hero	41
345	Charly	56
345	Alice	211
345	Bob	263
347	Alice	53
347	Charly	63
347	Hero	106
348	Bob	43
348	Charly	62
348	Hero	73
349	Alice	32
349	Charly	45
349	Bob	64
350	Bob	72
350	Hero	124
350	Charly	131
351	Hero	41
351	Alice	74
351	Charly	104
353	Alice	39
353	Hero	53
353	Charly	56
354	Alice	33
354	Hero	37
354	Charly	52
356	Hero	41
356	Charly	42
356	Bob	53
357	Charly	152
357	Bob	198
358	Alice	15
358	Charly	19
358	Hero	24
361	Bob	25
361	Alice	38
361	Hero	48
362	Bob	54
362	Alice	55
362	Charly	111
364	Hero	58
364	Alice	73
364	Charly	91
365	Hero	34
365	Charly	35
365	Bob	49
367	Alice	31
367	Hero	47
367	Charly	68
368	Alice	69
368	Bob	84
368	Charly	87
369	Charly	36
369	Hero	43
369	Alice	49
370	Hero	41
370	Bob	41
370	Alice	224
371	Bob	31
371	Charly	34
371	Hero	57
372	Charly	25
372	Hero	29
372	Bob	33
373	Bob	78
373	Hero	104
373	Charly	128
374	Bob	38
374	Alice	60
374	Charly	65
375	Charly	45
375	Bob	49
375	Hero	75
377	Hero	42
377	Bob	54
377	Alice	55
378	Alice	23
378	Bob	30
378	Hero	33
380	Hero	71
380	Bob	89
380	Charly	94
381	Hero	31
381	Bob	43
381	Alice	46
382	Alice	39
382	Bob	69
382	Charly	78
383	Bob	527
384	Bob	24
384	Alice	52
384	Charly	77
386	Charly	59
386	Hero	66
386	Bob	70
387	Bob	62
387	Alice	82
387	Charly	106
389	Alice	54
389	Bob	77
389	Charly	150
390	Bob	51
390	Hero	62
390	Charly	73
393	Hero	35
393	Charly	50
393	Bob	69
394	Alice	42
394	Hero	46
394	Bob	56
395	Alice	46
395	Bob	58
395	Hero	73
396	Alice	36
396	Hero	47
396	Charly	56
397	Hero	24
397	Bob	30
397	Alice	45
398	Hero	21
398	Charly	25
398	Alice	25
399	Hero	84
399	Charly	85
399	Bob	110
400	Alice	24
400	Charly	67
400	Bob	107
402	Alice	46
402	Charly	63
402	Hero	67
403	Bob	30
403	Hero	33
403	Alice	53
405	Charly	58
405	Bob	76
405	Hero	198
406	Hero	55
406	Alice	64
406	Charly	66
407	Bob	74
407	Alice	91
407	Charly	259
408	Charly	17
408	Bob	21
408	Alice	37
409	Alice	40
409	Charly	61
409	Hero	72
410	Charly	42
410	Hero	47
410	Alice	57
411	Hero	43
411	Alice	45
411	Charly	45
412	Hero	33
412	Bob	38
412	Alice	70
414	Alice	38
414	Bob	74
414	Charly	92
415	Alice	59
415	Bob	69
415	Charly	112
416	Charly	43
416	Alice	55
416	Hero	62
418	Charly	34
418	Bob	38
418	Hero	50
419	Bob	50
419	Hero	52
419	Charly	65
420	Hero	36
420	Charly	79
420	Bob	83
422	Alice	32
422	Bob	50
422	Hero	53
423	Alice	75
423	Hero	81
423	Charly	90
424	Bob	37
424	Charly	47
424	Alice	49
425	Bob	65
425	Charly	69
425	Hero	81
429	Charly	33
429	Alice	37
429	Bob	45
430	Bob	78
430	Hero	97
430	Charly	110
432	Bob	50
432	Charly	57
432	Alice	58
433	Alice	50
433	Charly	55
433	Bob	60
434	Alice	44
434	Charly	68
434	Hero	73
436	Bob	54
436	Hero	67
436	Charly	83
438	Charly	35
438	Alice	43
438	Hero	67
439	Bob	37
439	Hero	37
439	Alice	43
441	Charly	45
441	Alice	46
441	Hero	46
443	Bob	39
443	Hero	54
443	Charly	61
444	Alice	36
444	Bob	36
444	Charly	46
445	Bob	25
445	Alice	36
445	Charly	160
446	Charly	28
446	Hero	28
446	Bob	33
447	Charly	37
447	Bob	39
447	Hero	47
449	Hero	68
449	Bob	79
449	Charly	81
450	Bob	47
450	Charly	50
450	Hero	63
451	Alice	43
451	Charly	49
451	Hero	61
452	Bob	48
452	Hero	60
452	Charly	62
453	Bob	31
453	Hero	52
453	Alice	77
454	Hero	71
454	Charly	72
454	Bob	100
455	Charly	31
455	Alice	64
455	Bob	82
456	Bob	52
456	Alice	62
456	Charly	71
458	Bob	38
458	Hero	44
458	Charly	47
459	Charly	36
459	Alice	40
459	Bob	42
460	Charly	35
460	Hero	36
460	Alice	45
461	Hero	33
461	Bob	37
461	Charly	46
463	Hero	18
463	Alice	29
463	Bob	35
465	Hero	45
465	Bob	103
465	Alice	146
466	Charly	46
466	Bob	57
466	Hero	63
467	Charly	49
467	Bob	58
467	Hero	115
468	Hero	29
468	Charly	33
468	Alice	43
471	Charly	68
471	Bob	70
471	Hero	79
472	Charly	72
472	Hero	79
473	Bob	34
473	Charly	34
473	Alice	52
476	Charly	37
476	Alice	55
476	Bob	87
477	Alice	55
477	Hero	58
477	Charly	71
478	Alice	57
478	Charly	79
478	Bob	81
479	Alice	49
479	Charly	51
479	Hero	69
480	Bob	49
480	Hero	56
480	Charly	58
481	Charly	69
481	Alice	84
481	Bob	124
483	Alice	29
483	Bob	36
483	Hero	39
484	Hero	59
484	Charly	68
484	Bob	78
487	Charly	43
487	Alice	54
487	Hero	55
489	Alice	39
489	Hero	43
489	Bob	56
490	Alice	34
490	Hero	50
490	Bob	60
493	Hero	28
493	Bob	42
493	Charly	68
494	Alice	87
494	Charly	105
494	Bob	148
496	Bob	52
496	Hero	55
496	Alice	83
497	Charly	53
497	Hero	63
497	Bob	69
499	Hero	38
499	Alice	59
499	Bob	102
501	Hero	40
501	Alice	47
501	Bob	53
502	Charly	46
502	Hero	47
502	Bob	56
504	Charly	34
504	Hero	36
504	Bob	38
505	Alice	36
505	Charly	47
505	Hero	62
508	Charly	47
508	Bob	64
508	Alice	111
509	Alice	66
509	Bob	68
509	Hero	76
513	Bob	364
513	Alice	647
514	Charly	41
514	Bob	46
514	Hero	53
515	Charly	52
515	Hero	65
515	Alice	67
516	Bob	53
516	Hero	58
516	Alice	60
518	Hero	46
518	Bob	54
518	Alice	58
519	Alice	30
519	Hero	44
519	Charly	47
520	Alice	30
520	Hero	46
520	Charly	49
521	Alice	45
521	Bob	48
521	Hero	70
522	Charly	61
522	Alice	69
522	Bob	109
523	Hero	48
523	Bob	50
523	Alice	64
525	Bob	45
525	Hero	48
525	Charly	76
526	Charly	31
526	Alice	43
526	Bob	54
528	Hero	37
528	Bob	45
528	Charly	92
529	Alice	45
529	Charly	55
529	Bob	60
531	Alice	31
531	Hero	36
531	Charly	76
533	Bob	39
533	Hero	44
533	Alice	88
534	Alice	34
534	Hero	36
534	Bob	56
535	Charly	20
535	Bob	23
535	Alice	35
537	Alice	41
537	Charly	51
537	Hero	59
538	Hero	38
538	Bob	42
538	Charly	44
539	Charly	70
539	Hero	79
539	Alice	95
540	Alice	66
540	Hero	83
540	Charly	90
541	Hero	42
541	Charly	44
541	Alice	48
542	Charly	32
542	Hero	46
542	Alice	72
543	Hero	27
543	Alice	29
543	Bob	35
545	Bob	35
545	Hero	46
545	Charly	61
546	Alice	57
546	Charly	64
546	Hero	66
547	Bob	32
547	Alice	40
547	Hero	47
549	Hero	38
549	Charly	43
549	Bob	49
550	Hero	34
550	Bob	35
550	Charly	55
552	Bob	61
552	Hero	71
552	Charly	74
553	Charly	180
553	Alice	183
553	Bob	189
554	Charly	38
554	Hero	43
554	Bob	65
555	Alice	39
555	Charly	59
555	Bob	79
556	Hero	33
556	Bob	34
556	Charly	93
559	Alice	47
559	Charly	50
560	Alice	28
560	Bob	40
560	Hero	43
561	Alice	48
561	Bob	50
561	Hero	51
562	Alice	27
562	Hero	37
562	Charly	46
563	Alice	33
563	Hero	39
563	Bob	43
564	Hero	64
564	Bob	73
564	Alice	83
569	Bob	66
569	Alice	76
569	Charly	77
570	Alice	57
570	Charly	59
572	Bob	57
572	Charly	79
572	Alice	85
573	Charly	45
573	Bob	67
573	Alice	75
574	Bob	34
574	Hero	41
574	Alice	42
575	Bob	52
575	Hero	61
575	Charly	64
577	Alice	57
577	Bob	69
577	Hero	151
578	Charly	46
578	Hero	48
578	Bob	53
579	Alice	70
579	Bob	101
579	Hero	111
580	Alice	41
580	Bob	48
580	Hero	56
581	Bob	50
581	Hero	57
581	Charly	58
583	Alice	46
583	Charly	50
583	Hero	64
585	Bob	39
585	Charly	49
585	Alice	61
586	Charly	41
586	Hero	48
586	Alice	68
587	Alice	41
587	Bob	50
587	Charly	57
588	Bob	71
588	Alice	132
588	Hero	152
589	Alice	82
589	Charly	87
589	Bob	118
590	Bob	62
590	Alice	69
590	Hero	73
591	Hero	39
591	Alice	42
591	Bob	53
593	Hero	22
593	Bob	41
593	Alice	46
594	Alice	28
594	Hero	30
594	Bob	72
596	Hero	52
596	Alice	57
596	Charly	58
597	Bob	95
597	Hero	97
597	Alice	106
598	Bob	83
598	Charly	85
598	Alice	92
599	Hero	63
599	Charly	66
599	Bob	67
601	Alice	46
601	Hero	62
601	Bob	64
602	Charly	18
602	Bob	19
602	Hero	38
603	Bob	25
603	Alice	30
603	Hero	31
605	Hero	33
605	Alice	42
605	Charly	69
606	Bob	54
606	Hero	63
606	Charly	88
607	Bob	61
607	Charly	63
607	Hero	64
609	Hero	69
609	Charly	76
609	Alice	79
611	Hero	57
611	Charly	60
611	Bob	82
612	Bob	39
612	Hero	46
612	Alice	65
616	Hero	71
616	Alice	77
616	Bob	85
617	Alice	37
617	Charly	53
617	Hero	56
618	Charly	42
618	Hero	43
618	Alice	52
619	Bob	36
619	Alice	49
619	Hero	53
620	Bob	27
620	Alice	43
620	Hero	55
621	Bob	88
621	Charly	90
621	Alice	98
623	Hero	28
623	Alice	29
623	Charly	34
626	Charly	25
626	Hero	50
626	Bob	58
627	Hero	18
627	Charly	29
627	Bob	30
628	Alice	69
628	Charly	102
628	Hero	117
629	Hero	43
629	Alice	50
629	Charly	58
630	Charly	25
630	Hero	32
630	Alice	35
631	Hero	19
631	Charly	33
631	Alice	34
632	Alice	29
632	Bob	45
632	Hero	48
633	Hero	32
633	Alice	35
633	Charly	38
634	Alice	31
634	Hero	35
634	Bob	38
635	Bob	71
635	Hero	73
635	Alice	74
636	Bob	33
636	Alice	51
636	Charly	53
637	Bob	81
637	Alice	87
637	Hero	108
638	Hero	47
638	Charly	50
638	Alice	60
639	Alice	81
639	Charly	87
639	Hero	109
640	Hero	56
640	Charly	66
640	Bob	137
644	Alice	56
644	Hero	63
644	Charly	68
646	Charly	43
646	Alice	53
646	Hero	57
647	Alice	50
647	Hero	51
647	Charly	59
648	Charly	63
648	Alice	71
648	Hero	78
649	Hero	65
649	Alice	69
649	Bob	85
650	Charly	16
650	Hero	71
650	Bob	95
651	Charly	29
651	Bob	38
651	Hero	52
652	Alice	21
652	Hero	37
652	Charly	37
654	Bob	41
654	Alice	79
654	Hero	80
655	Charly	38
655	Alice	39
655	Bob	63
656	Alice	33
656	Bob	40
656	Hero	41
657	Charly	40
657	Hero	41
657	Alice	61
658	Bob	30
658	Hero	37
658	Charly	76
660	Hero	42
660	Charly	45
660	Bob	54
661	Hero	65
661	Charly	73
661	Alice	97
662	Hero	70
662	Charly	140
662	Bob	172
663	Alice	58
663	Charly	60
663	Bob	109
664	Bob	62
664	Charly	66
664	Hero	67
665	Hero	78
665	Bob	80
665	Charly	85
666	Alice	35
666	Bob	40
666	Hero	61
669	Alice	34
669	Bob	38
669	Hero	44
670	Hero	42
670	Bob	43
670	Alice	56
671	Alice	67
671	Hero	97
671	Bob	98
672	Hero	32
672	Charly	34
672	Bob	59
673	Bob	54
673	Charly	74
673	Hero	79
674	Hero	24
674	Bob	29
674	Charly	43
675	Alice	29
675	Hero	39
675	Charly	39
677	Alice	26
677	Bob	38
677	Hero	38
678	Hero	40
678	Alice	59
678	Bob	68
679	Hero	34
679	Bob	34
679	Charly	42
680	Hero	41
680	Alice	48
680	Charly	49
681	Alice	41
681	Hero	52
681	Bob	70
682	Charly	84
682	Hero	95
682	Alice	106
683	Hero	36
683	Bob	38
683	Charly	49
684	Bob	49
684	Alice	60
684	Charly	60
685	Bob	46
685	Alice	57
685	Charly	61
686	Alice	62
686	Bob	74
686	Charly	96
687	Alice	40
687	Charly	64
687	Bob	71
688	Bob	44
688	Charly	54
688	Hero	61
689	Bob	28
689	Hero	76
689	Charly	79
692	Alice	47
692	Bob	48
692	Hero	75
694	Alice	41
694	Hero	45
694	Charly	47
695	Hero	42
695	Alice	49
695	Bob	52
697	Bob	35
697	Charly	47
697	Alice	49
698	Bob	38
698	Alice	44
698	Hero	54
700	Alice	73
700	Charly	75
700	Bob	146
701	Hero	56
701	Charly	59
701	Alice	60
703	Charly	65
703	Alice	74
703	Hero	82
705	Alice	36
705	Charly	42
705	Bob	86
709	Alice	29
709	Bob	30
709	Hero	35
710	Charly	46
710	Hero	54
710	Bob	96
711	Alice	64
711	Bob	73
711	Hero	100
714	Bob	39
714	Alice	43
714	Hero	53
715	Hero	33
715	Bob	42
715	Alice	49
716	Alice	27
716	Bob	43
716	Hero	55
717	Charly	86
717	Alice	100
718	Charly	36
718	Bob	44
718	Alice	48
719	Alice	52
719	Charly	67
719	Hero	82
721	Hero	67
721	Alice	81
721	Bob	92
722	Charly	42
722	Bob	52
722	Alice	89
